Date,User,Tweet
2013-12-22 08:55:17+00:00,sambitswaraj,@AnupamkPandey video uploaded
2013-12-22 08:53:10+00:00,sambitswaraj,@vibhask1 the video is uploaded. .pls check
2013-12-22 08:51:42+00:00,sambitswaraj,https://t.co/N8dLzgwJPk Part of the video where the AAP MLA talks of a referendum on J&amp;K..demanding a referendum on J&amp;K is Antinational!!
2013-12-22 08:31:10+00:00,sambitswaraj,Got a part of the video #Antinational AAP MLA on a referendum on J&amp;K..am getting it uploaded @vibhask1 @SaharaSamay
2013-12-21 18:31:24+00:00,sambitswaraj,@umashankarsingh  @SaharaSamay between 8.45pm-9.12pm
2013-12-21 18:29:22+00:00,sambitswaraj,"Is all this Pak appeasement by AAP for Funding,or there is more 2 read?This is what I call ""Dangerous Predicament"" in Democracy #aapexposed"
2013-12-21 17:23:02+00:00,sambitswaraj,"I ws furious when AAP MLA said decision on J&amp;K should b taken on referendum,I walked out saying I cannot participate in an ANTI INDIA debate"
2013-12-21 17:07:05+00:00,sambitswaraj,"Those who saw the debate anyways know the name of the MLA..but more than his name, I see this as the stand of AAP on J&amp;K #aapexposed"
2013-12-21 17:02:04+00:00,sambitswaraj,Will try 2 upload d video by tomorrow. .pls hv patience...whole country saw it ..disgusting @vibhask1
2013-12-21 16:00:55+00:00,sambitswaraj,Debate on #RahulGandhi begins on @newsxonline (NEWSX) now 9.30pm..pls watch
2013-12-21 15:53:44+00:00,sambitswaraj,AAP MLA from Delhi said on air on @SaharaSamay that AAP is ready 2 hand over J&amp;K 2 Pak if a referendum in J&amp;K says so @vibhask1 #aapexposed
2013-12-21 14:24:31+00:00,sambitswaraj,Friends now 8pm I would be on @SaharaSamay #YuvaSansad
2013-12-21 13:30:09+00:00,sambitswaraj,"Watch me on @News24 at 7pm with @ajitanjum ,Sh Rahul Mehra of AAP and Sh Meem Afzal of Congress.."
2013-12-21 12:58:22+00:00,sambitswaraj,@newsnation debate to begin now..
2013-12-21 11:17:57+00:00,sambitswaraj,"Friends today(21/12/13) I would be on @NewsNation at 6.30pm, @News24 at 7pm,@SaharaSamay at 8pm and @newsxonline(NewsX) at 9.30pm..pls watch"
